competitor_deity,title,slug,inferred_form,verse_units,parity_status,notes,competitor_url
durga,Devi Mahatmyam Madhyama Charitra,devi-mahatmyam-madhyama-charitra,other,26,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/devi-mahatmyam-madhyama-charitra
durga,Devi Mahatmyam Prathama Charitra,devi-mahatmyam-prathama-charitra,other,30,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/devi-mahatmyam-prathama-charitra
durga,Devi Mahatmyam Uttama Charitra,devi-mahatmyam-uttama-charitra,other,27,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/devi-mahatmyam-uttama-charitra
durga,Devi Stuti,devi-stuti,stuti,25,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/devi-stuti
durga,Devi Suktam,devi-suktam,suktam,8,variant-review,"Title-level match exists, but composition or edition identity needs line-level comparison.",https://stotra.vastucart.in/stotra/devi-suktam
lakshmi,Dhanalakshmi Stotram,dhanalakshmi-stotram,stotram,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dhanalakshmi-stotram
vishnu,Dharma Stuti,dharma-stuti,stuti,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dharma-stuti
vishnu,Dhruva Stuti,dhruva-stuti,stuti,9,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dhruva-stuti
kali,Dhumavati Kavacham,dhumavati-kavacham,kavacham,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dhumavati-kavacham
kali,Dhumavati Stotram,dhumavati-stotram,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dhumavati-stotram
lakshmi,Diwali Vrat Katha,diwali-vrat-katha,katha,20,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/diwali-vrat-katha
rama,Dohavali - Key Dohe (Couplets),dohavali-key-dohe,other,14,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dohavali-key-dohe
durga,Durga Aarti - Om Jai Ambe Gauri,durga-aarti,aarti,12,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/durga-aarti
durga,Durga Ashtakam,durga-ashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/durga-ashtakam
durga,Durga Ashtottara Shatanamavali,durga-ashtottara-shatanamavali,namavali,108,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/durga-ashtottara-shatanamavali
durga,Durga Chalisa,durga-chalisa,chalisa,40,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/durga-chalisa
durga,Durga Dvatrimshan Namavali,durga-stuti-chaman-lal,namavali,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/durga-stuti-chaman-lal
durga,Durga Dvatrinsha Naamamala,durga-dvatrinsha-naamamala,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/durga-dvatrinsha-naamamala
durga,Durga Dwadash Nama Stotram,durga-dwadash-nama,namavali,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/durga-dwadash-nama
durga,Durga Gayatri Mantra,durga-gayatri,mantra,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/durga-gayatri
durga,Durga Hridayam,durga-hridayam,hridayam,9,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/durga-hridayam
durga,Durga Kavach,durga-kavach,kavacham,18,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/durga-kavach
durga,Durga Mangalashtakam,durga-mangalashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/durga-mangalashtakam
durga,Durga Nav Shloki,durga-nav-shloki,other,9,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/durga-nav-shloki
durga,Durga Pancha Ratnam,durga-pancha-ratnam,other,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/durga-pancha-ratnam
durga,Durga Pancharatnam,durga-pancharatnam,pancharatnam,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/durga-pancharatnam
durga,Durga Sahasranama Stotram (Devi Bhagavata),durga-sahasranama-stotram,sahasranama,26,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/durga-sahasranama-stotram
durga,Durga Sahasranama Stotram (Skanda Purana),durga-sahasranama,sahasranama,30,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/durga-sahasranama
durga,Durga Saptashloki,durga-saptashloki,other,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/durga-saptashloki
durga,Durga Stuti by Arjuna,durga-stuti-arjuna,stuti,13,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/durga-stuti-arjuna
durga,Durga Suktam,durga-suktam,suktam,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/durga-suktam
rama,Dussehra Stotram,dussehra-stotram,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dussehra-stotram
surya,Dwadash Aditya Stotram,dwadash-aditya-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dwadash-aditya-stotram
vishnu,Dwadash Stotra Madhvacharya,dwadash-stotra-madhva,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dwadash-stotra-madhva
shiva,Dwadasha Jyotirlinga Stotram,dwadasha-jyotirlinga-stotram,stotram,4,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dwadasha-jyotirlinga-stotram
krishna,Dwarkadhish Aarti,dwarkadhish-aarti,aarti,9,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/dwarkadhish-aarti
krishna,Dwarkadhish Stotram,dwarkadhish-stotram,stotram,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/dwarkadhish-stotram
shiva,Eka Shloki,eka-shloki,other,1,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/eka-shloki
shiva,Ekadasha Rudra Stotram,ekadasha-rudra-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ekadasha-rudra-stotram
vishnu,Ekadashi Mahatmya,ekadashi-mahatmya,other,15,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ekadashi-mahatmya
vishnu,Ekadashi Mahatmya Shloka,ekadashi-mahatmya-shloka,other,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ekadashi-mahatmya-shloka
vishnu,Ekadashi Vrat Katha,ekadashi-vrat-katha,katha,18,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ekadashi-vrat-katha
vishnu,Gajendra Moksha Stotram,gajendra-moksha-stotram,stotram,16,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/gajendra-moksha-stotram
ganesha,Ganesh Aarti - Jai Ganesh Jai Ganesh Deva,ganesh-aarti,aarti,6,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/ganesh-aarti
ganesha,Ganesh Atharvashirsha,ganesh-atharvashirsha,other,28,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/ganesh-atharvashirsha
ganesha,Ganesh Bajrang,ganesh-bajrang,other,19,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganesh-bajrang
ganesha,Ganesh Bhujanga Stotram,ganesh-bhujanga-stotram,stotram,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganesh-bhujanga-stotram
ganesha,Ganesh Chalisa,ganesh-chalisa,chalisa,40,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/ganesh-chalisa
ganesha,Ganesh Chaturthi Vrat Katha,ganesh-chaturthi-vrat-katha,katha,18,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganesh-chaturthi-vrat-katha
ganesha,Ganesh Dwadash Nama Stotram,ganesh-dwadash-nama,namavali,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganesh-dwadash-nama
ganesha,Ganesh Pancharatnam,ganesh-pancharatnam,pancharatnam,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganesh-pancharatnam
ganesha,Ganesh Stotram,ganesh-stotram,stotram,11,variant-review,"Title-level match exists, but composition or edition identity needs line-level comparison.",https://stotra.vastucart.in/stotra/ganesh-stotram
ganesha,Ganesha Ashtottara Shatanamavali (Namavali),ganesha-ashtottara-shatanamavali,namavali,108,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganesha-ashtottara-shatanamavali
ganesha,Ganesha Ashtottara Shatanamavali (Stotra),ganesh-ashtottara-shatanamavali,namavali,108,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganesh-ashtottara-shatanamavali
ganesha,Ganesha Gayatri Mantra,ganesha-gayatri,mantra,4,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganesha-gayatri
ganesha,Ganesha Hridayam,ganesha-hridayam,hridayam,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganesha-hridayam
ganesha,Ganesha Kavacham,ganesh-kavacham,kavacham,10,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/ganesh-kavacham
ganesha,Ganesha Maha Mantra Sangraha,ganesha-maha-mantra,mantra,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganesha-maha-mantra
ganesha,Ganesha Mangala Stotram,ganesha-mangala-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganesha-mangala-stotram
ganesha,Ganesha Mangalashtakam,ganesha-mangalashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganesha-mangalashtakam
ganesha,Ganesha Pancharatnam,ganesha-pancharatnam,pancharatnam,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganesha-pancharatnam
ganesha,Ganesha Sahasranama Stotram,ganesh-sahasranama,sahasranama,30,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganesh-sahasranama
ganesha,Ganesha Stuti - Mudgala Purana,ganesha-stuti-mudgala-purana,stuti,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganesha-stuti-mudgala-purana
ganga,Ganga Aarti - Om Jai Gange Mata,ganga-aarti,aarti,7,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/ganga-aarti
ganga,Ganga Ashtakam,ganga-ashtakam,ashtakam,8,variant-review,"Title-level match exists, but composition or edition identity needs line-level comparison.",https://stotra.vastucart.in/stotra/ganga-ashtakam
ganga,Ganga Chalisa,ganga-chalisa,chalisa,42,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/ganga-chalisa
ganga,Ganga Dashakam,ganga-dashakam,other,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganga-dashakam
ganga,Ganga Kavacham,ganga-kavacham,kavacham,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganga-kavacham
ganga,Ganga Sahasranama Stotram,ganga-sahasranama,sahasranama,20,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganga-sahasranama
ganga,Ganga Stotram,ganga-stotram,stotram,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganga-stotram
ganga,Ganga Stuti by Tulsidas,ganga-stuti-tulsidas,stuti,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ganga-stuti-tulsidas
vishnu,Garuda Dandakam,garuda-dandakam,dandakam,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/garuda-dandakam
parvati,Gauri Chalisa,gauri-chalisa,chalisa,10,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/gauri-chalisa
parvati,Gauri Stotram,gauri-stotram,stotram,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/gauri-stotram
gayatri,Gayatri Aarti,gayatri-aarti,aarti,7,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/gayatri-aarti
gayatri,Gayatri Ashtottara Shatanamavali,gayatri-ashtottara-shatanamavali,namavali,108,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/gayatri-ashtottara-shatanamavali
gayatri,Gayatri Chalisa,gayatri-chalisa,chalisa,42,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/gayatri-chalisa
gayatri,Gayatri Hridayam,gayatri-hridayam,hridayam,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/gayatri-hridayam
gayatri,Gayatri Kavacham,gayatri-kavacham,kavacham,9,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/gayatri-kavacham
gayatri,Gayatri Mangalashtakam,gayatri-mangalashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/gayatri-mangalashtakam
gayatri,Gayatri Mantra,gayatri-mantra,mantra,1,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/gayatri-mantra
gayatri,Gayatri Sahasranama Stotram,gayatri-sahasranama,sahasranama,15,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/gayatri-sahasranama
gayatri,Gayatri Stotram,gayatri-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/gayatri-stotram
krishna,Giridhari Stotram,giridhari-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/giridhari-stotram
krishna,Gita Govinda - Ashtapadi 1,gita-govinda-ashtapadi-1,gita,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/gita-govinda-ashtapadi-1
vishnu,Gita Govinda - Dashavatara Ashtapadi,gita-govinda-ashtapadi-dashavatara,gita,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/gita-govinda-ashtapadi-dashavatara
krishna,Gita Govinda - Key Songs,gita-govinda-key-songs,gita,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/gita-govinda-key-songs
krishna,Gita Govinda - Key Verses,gita-govinda-key-verses,gita,6,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/gita-govinda-key-verses
krishna,Gita Mahatmya,gita-mahatmya,gita,17,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/gita-mahatmya
krishna,Gita Sara,gita-sara,gita,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/gita-sara
krishna,Gopala Sahasranama Stotram,gopala-sahasranama,sahasranama,20,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/gopala-sahasranama
krishna,Gopala Stotram,gopala-stotram,stotram,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/gopala-stotram
krishna,Gopala Vimshatika,gopala-vimshatika,other,20,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/gopala-vimshatika
krishna,Gopi Geet,gopi-geet,other,19,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/gopi-geet
krishna,Gopika Gitam,gopika-gitam,gita,9,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/gopika-gitam
krishna,Govardhan Puja Stotram,govardhan-puja-stotram,ritual,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/govardhan-puja-stotram
krishna,Govinda Ashtakam,govinda-ashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/govinda-ashtakam
krishna,Govinda Damodara Stotram,govinda-damodara-stotram,stotram,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/govinda-damodara-stotram
krishna,Govinda Namavali,govinda-namavali,namavali,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/govinda-namavali
surya,Graha Peeda Hara Stotram,graha-peeda-hara-stotram,stotram,6,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/graha-peeda-hara-stotram
navagraha,Graha Shanti Mantra,graha-shanti-mantra,mantra,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/graha-shanti-mantra
ganesha,Griha Pravesh Mantras,griha-pravesh-mantras,mantra,15,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/griha-pravesh-mantras
vishnu,Griha Shanti Stotram,griha-shanti-stotram,stotram,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/griha-shanti-stotram
shiva,Grishneshwar Stotram,grishneshwar-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/grishneshwar-stotram
navagraha,Guru (Brihaspati) Sahasranama Stotram,guru-sahasranama,sahasranama,23,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/guru-sahasranama
dattatreya,Guru Ashtakam,guru-ashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/guru-ashtakam
vishnu,Guru Chandal Dosh Nivaran Stotram,guru-chandal-dosh-nivaran-stotram,stotram,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/guru-chandal-dosh-nivaran-stotram
dattatreya,Guru Dattatreya Mantra,guru-dattatreya-mantra,mantra,9,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/guru-dattatreya-mantra
dattatreya,Guru Gita - Key Verses,guru-gita,gita,18,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/guru-gita
navagraha,Guru Graha Kavacham,guru-graha-kavacham,kavacham,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/guru-graha-kavacham
navagraha,Guru Graha Stotra,guru-graha-stotra,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/guru-graha-stotra
dattatreya,Guru Paduka Stotram,guru-paduka-stotram,stotram,9,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/guru-paduka-stotram
dattatreya,Guru Stotram,guru-stotram,stotram,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/guru-stotram
dattatreya,Guru Vandana,guru-vandana,stuti,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/guru-vandana
vishnu,Guruvar Vrat Katha (Thursday Fasting Story),guruvar-vrat-katha,katha,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/guruvar-vrat-katha
rama,Hanumad Ramayanam,hanumad-ramayanam,other,16,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hanumad-ramayanam
hanuman,Hanuman Aarti,hanuman-aarti,aarti,11,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/hanuman-aarti
hanuman,Hanuman Ashtak,hanuman-ashtak,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hanuman-ashtak
hanuman,Hanuman Ashtottara Shatanamavali,hanuman-ashtottara-shatanamavali,namavali,108,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hanuman-ashtottara-shatanamavali
hanuman,Hanuman Ashtottara Stotram,hanuman-ashtottara-stotram,namavali,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hanuman-ashtottara-stotram
hanuman,Hanuman Bahuk,hanuman-bahuk,stotram,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hanuman-bahuk
hanuman,Hanuman Chalisa,hanuman-chalisa,chalisa,43,handled-separately,See chalisa-aarti-existing-deities.md.,https://stotra.vastucart.in/stotra/hanuman-chalisa
hanuman,Hanuman Dhyanam,hanuman-dhyanam,dhyanam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hanuman-dhyanam
hanuman,Hanuman Dwadash Nama Stotram,hanuman-dwadash-nama,namavali,4,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hanuman-dwadash-nama
hanuman,Hanuman Gayatri Mantra,hanuman-gayatri,mantra,4,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hanuman-gayatri
hanuman,Hanuman Hridayam,hanuman-hridayam,hridayam,9,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hanuman-hridayam
hanuman,Hanuman Kavacham,hanuman-kavacham,kavacham,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hanuman-kavacham
hanuman,Hanuman Langoolastra Stotram,hanuman-langoolastra-stotram,stotram,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hanuman-langoolastra-stotram
hanuman,Hanuman Mangalashtakam,hanuman-mangalashtakam,ashtakam,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hanuman-mangalashtakam
hanuman,Hanuman Pancharatnam,hanuman-pancharatnam,pancharatnam,5,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hanuman-pancharatnam
hanuman,Hanuman Sahasranama Stotram,hanuman-sahasranama,sahasranama,30,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hanuman-sahasranama
hanuman,Hanuman Stavan,hanuman-stavan,other,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hanuman-stavan
hanuman,Hanuman Stuti - Lanka Kanda,hanuman-stuti-lanka-kanda,stuti,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hanuman-stuti-lanka-kanda
hanuman,Hanuman Stuti (Parasara Samhita),hanuman-stuti-parasara,stuti,11,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hanuman-stuti-parasara
hanuman,Hanuman Vadvanal Stotra,hanuman-vadvanal-stotra,stotram,7,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hanuman-vadvanal-stotra
krishna,Hare Krishna Mahamantra,hare-krishna-mahamantra,mantra,3,present,High-confidence match to current Aadhyatma content; verify exact edition before deduplication.,https://stotra.vastucart.in/stotra/hare-krishna-mahamantra
vishnu,Hari Nama Mala Stotram,hari-nama-mala-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hari-nama-mala-stotram
vishnu,Hari Stotram,hari-stotram,stotram,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hari-stotram
vishnu,Harivarasanam,harivarasanam,other,8,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/harivarasanam
parvati,Hartalika Teej Vrat Katha,hartalika-teej-vrat-katha,katha,18,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hartalika-teej-vrat-katha
shiva,Hastamalaka Stotram,hastamalaka-stotram,stotram,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hastamalaka-stotram
vishnu,Hayagriva Stotram,hayagriva-stotram,stotram,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hayagriva-stotram
vishnu,Hiranyagarbha Suktam,hiranyagarbha-suktam,suktam,10,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/hiranyagarbha-suktam
vishnu,Holika Dahan Katha,holika-dahan-katha,katha,15,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/holika-dahan-katha
vishnu,Ishavasya Upanishad,ishavasya-upanishad,upanishad,18,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/ishavasya-upanishad
durga,Jagadamba Stotram,jagadamba-stotram,stotram,12,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/jagadamba-stotram
krishna,Janmashtami Vrat Katha,janmashtami-vrat-katha,katha,24,candidate-unreviewed,Taxonomy lead only; independently source and collate before activation.,https://stotra.vastucart.in/stotra/janmashtami-vrat-katha
